0,0
7.5e-08,1080.5
1e-07,1186.04
1.39058e-07,1263.17
1.58923e-07,1280.49
2e-07,1302.66
2.78116e-07,1360.31
2.97981e-07,1367.48
4.96636e-07,1457.62
5e-07,1457.62
5.16501e-07,1399.59
5.36366e-07,1403.33
5.56232e-07,1393.02
5.76097e-07,1395.32
6.15828e-07,1373.55
6.35694e-07,1340.3
7e-07,1353.88
1e-06,1381.52
1.43031e-06,1400.98
1.45018e-06,1385.5
1.62896e-06,1391.26
1.64883e-06,1390.25
1.96668e-06,1388.89
1.98654e-06,1384.02
2e-06,1373.02
3.43672e-06,1384.62
3.45658e-06,1389.16
4.46972e-06,1382.41
4.48959e-06,1362.75
4.50945e-06,1366.93
5e-06,1371.61
7e-06,1376.54
1e-05,1379.31
1.05883e-05,1382.24
1.06081e-05,1382.24
3e-05,1381.5
4e-05,1381.5
5e-05,1381.5
7e-05,1384.12
0.0001,1384.12
0.0002,1381.5
0.0005,1384.12
0.0007,1381.5
0.001,1384.12
0.006,1384.12
0.01,1381.5
10.0,1384.12
500.0,1381.5
1000.0,1382.7
2000.0,1379
3600.0,1375.62
10000.0,1359.57
20000.0,1341.43
50000.0,1314.85
70000.0,1307.33
100000.0,1297.02
200000.0,1284.72
500000.0,1250.93
700000.0,1240.48
1000000.0,1230.44
